Hidden Layer Sizes,Activation Function,Learning Rate,Batch Size,Number of Epochs,Accuracy (Train),Accuracy (Test),Training Time,dataset
[2],sigmoid,0.01,128,10,0.7241379022598267,0.6976743936538696,0.08487510681152344,cong_voting
[2],sigmoid,0.01,128,15,0.6839080452919006,0.6744186282157898,0.11963081359863281,cong_voting
[2],sigmoid,0.01,128,20,0.6551724076271057,0.6511628031730652,0.1589369773864746,cong_voting
[2],sigmoid,0.001,32,10,0.36781609058380127,0.3720930218696594,0.18282389640808105,cong_voting
[2],sigmoid,0.001,32,15,0.36781609058380127,0.3720930218696594,0.4180419445037842,cong_voting
[2],sigmoid,0.001,32,20,0.36781609058380127,0.3720930218696594,0.5093021392822266,cong_voting
[2],sigmoid,0.001,64,10,0.36781609058380127,0.3720930218696594,0.14186406135559082,cong_voting
[2],sigmoid,0.001,64,15,0.36781609058380127,0.3720930218696594,0.22887301445007324,cong_voting
[2],sigmoid,0.001,64,20,0.36781609058380127,0.3720930218696594,0.2440638542175293,cong_voting
[2],sigmoid,0.001,128,10,0.36781609058380127,0.3720930218696594,0.3051469326019287,cong_voting
[2],sigmoid,0.001,128,15,0.36781609058380127,0.3720930218696594,0.608468770980835,cong_voting
[2],sigmoid,0.001,128,20,0.36781609058380127,0.3720930218696594,0.2784309387207031,cong_voting
[2],sigmoid,0.0001,32,10,0.36781609058380127,0.3720930218696594,0.20821499824523926,cong_voting
[2],sigmoid,0.0001,32,15,0.36781609058380127,0.3720930218696594,0.33402490615844727,cong_voting
[2],sigmoid,0.0001,32,20,0.36781609058380127,0.3720930218696594,0.36631226539611816,cong_voting
[2],sigmoid,0.0001,64,10,0.36781609058380127,0.3720930218696594,0.13313889503479004,cong_voting
[2],sigmoid,0.0001,64,15,0.36781609058380127,0.3720930218696594,0.15938186645507812,cong_voting
[2],sigmoid,0.0001,64,20,0.36781609058380127,0.3720930218696594,0.15593981742858887,cong_voting
[2],sigmoid,0.0001,128,10,0.36781609058380127,0.3720930218696594,0.07938599586486816,cong_voting
[2],sigmoid,0.0001,128,15,0.36781609058380127,0.3720930218696594,0.09904003143310547,cong_voting
[2],sigmoid,0.0001,128,20,0.36781609058380127,0.3720930218696594,0.12111997604370117,cong_voting
"[4, 4]",tanh,0.01,32,10,0.6436781883239746,0.6744186282157898,0.1480717658996582,cong_voting
"[4, 4]",tanh,0.01,32,15,0.6551724076271057,0.6511628031730652,0.34922122955322266,cong_voting
"[4, 4]",tanh,0.01,32,20,0.6609195470809937,0.6511628031730652,0.4967970848083496,cong_voting
"[4, 4]",tanh,0.01,64,10,0.6436781883239746,0.6511628031730652,0.1316061019897461,cong_voting
